symbol,date,price
ABBV,2022/01/31,136.89
ACN,2022/01/31,353.58
AEP,2022/01/31,89.618
AIZ,2022/01/31,151.876
ALLE,2022/01/31,122.28
AMAT,2022/01/31,137.931
AMP,2022/01/31,303.233
AMZN,2022/01/31,2991.47
AVB,2022/01/31,244.23
AVY,2022/01/31,204.627
AXP,2022/01/31,179.82
BDX,2022/01/31,253.306
BF-B,2022/01/31,67.248
BMY,2022/01/31,64.89
BR,2022/01/31,158.515
CARR,2022/01/31,47.68
CDW,2022/01/31,188.491
CE,2022/01/31,155.018
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,28.181
COP,2022/01/31,88.176
CTAS,2022/01/31,390.54
CZR,2022/01/31,76.14
DG,2022/01/31,208.48
DPZ,2022/01/31,453.356
DRE,2022/01/31,57.483
DXC,2022/01/31,30.08
EWA,2022/01/31,22.84
EWC,2022/01/31,38.19
EWG,2022/01/31,32.01
EWH,2022/01/31,23.71
EWJ,2022/01/31,64.08
EWL,2022/01/31,49.33
EWQ,2022/01/31,37.89
EWT,2022/01/31,64.89
EWU,2022/01/31,33.89
EWY,2022/01/31,72.39
EWZ,2022/01/31,31.62
FB,2022/01/31,313.26
FTV,2022/01/31,70.461
GOOG,2022/01/31,2713.97
GPC,2022/01/31,132.276
GSG,2022/01/31,19.12
HIG,2022/01/31,71.479
HIGH.L,2022/01/31,5.419
HST,2022/01/31,17.34
HYG,2022/01/31,84.084
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.75
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,112.361
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,59.58
IEUS,2022/01/31,64.89
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,47.24
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,450.274
IWM,2022/01/31,200.846
IXN,2022/01/31,59.54
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,148.6
KR,2022/01/31,43.392
LQD,2022/01/31,127.257
MCHI,2022/01/31,62.6
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,31.662
PG,2022/01/31,160.45
PPL,2022/01/31,29.454
PRU,2022/01/31,110.453
PYPL,2022/01/31,171.94
RE,2022/01/31,281.785
REET,2022/01/31,28.506
ROL,2022/01/31,30.749
ROST,2022/01/31,97.405
SEGA.L,2022/01/31,107.707
SHY,2022/01/31,84.901
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,142.004
UNH,2022/01/31,471.176
URI,2022/01/31,320.12
V,2022/01/31,225.803
VRSK,2022/01/31,195.796
VXX,2022/01/31,21.41
WRK,2022/01/31,45.916
XLB,2022/01/31,84.134
XLC,2022/01/31,73.763
XLE,2022/01/31,65.296
XLF,2022/01/31,38.908
XLI,2022/01/31,100.406
XLK,2022/01/31,161.672
XLP,2022/01/31,75.627
XLU,2022/01/31,68.791
XLV,2022/01/31,130.822
XLY,2022/01/31,184.666
XOM,2022/01/31,75.127
ABBV,2022/02/01,137
ACN,2022/02/01,353.42
AEP,2022/02/01,87.586
AIZ,2022/02/01,150.621
ALLE,2022/02/01,119.56
AMAT,2022/02/01,138.36
AMP,2022/02/01,307.009
AMZN,2022/02/01,3023.87
AVB,2022/02/01,244.48
AVY,2022/02/01,205.594
AXP,2022/02/01,183.54
BDX,2022/02/01,252.399
BF-B,2022/02/01,67.308
BMY,2022/02/01,65.19
BR,2022/02/01,152.651
CARR,2022/02/01,47.05
CDW,2022/02/01,188.84
CE,2022/02/01,156.929
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,27.902
COP,2022/02/01,91.082
CTAS,2022/02/01,386.34
CZR,2022/02/01,80.8
DG,2022/02/01,209.12
DPZ,2022/02/01,456.995
DRE,2022/02/01,56.916
DXC,2022/02/01,30.79
EWA,2022/02/01,23.14
EWC,2022/02/01,38.68
EWG,2022/02/01,32.28
EWH,2022/02/01,23.84
EWJ,2022/02/01,64.1
EWL,2022/02/01,50.02
EWQ,2022/02/01,38.42
EWT,2022/02/01,65.14
EWU,2022/02/01,34.28
EWY,2022/02/01,72.98
EWZ,2022/02/01,32.16
FB,2022/02/01,319
FTV,2022/02/01,70.551
GOOG,2022/02/01,2757.57
GPC,2022/02/01,133.318
GSG,2022/02/01,19.26
HIG,2022/02/01,71.728
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.37
HYG,2022/02/01,84.419
IAU,2022/02/01,34.27
ICLN,2022/02/01,18.72
IEAA.L,2022/02/01,5.266
IEF,2022/02/01,112.209
IEFM.L,2022/02/01,780.8
IEMG,2022/02/01,59.92
IEUS,2022/02/01,65.64
IEVL.L,2022/02/01,7.599
IGF,2022/02/01,47.51
INDA,2022/02/01,45.89
IUMO.L,2022/02/01,11.362
IUVL.L,2022/02/01,9.265
IVV,2022/02/01,453.384
IWM,2022/02/01,202.961
IXN,2022/02/01,59.72
JPEA.L,2022/02/01,5.764
JPM,2022/02/01,151.15
KR,2022/02/01,43.93
LQD,2022/02/01,127.468
MCHI,2022/02/01,62.99
MVEU.L,2022/02/01,54.08
OGN,2022/02/01,32.734
PG,2022/02/01,159.74
PPL,2022/02/01,29.295
PRU,2022/02/01,112.532
PYPL,2022/02/01,175.8
RE,2022/02/01,282.909
REET,2022/02/01,28.386
ROL,2022/02/01,30.928
ROST,2022/02/01,98.192
SEGA.L,2022/02/01,107.17
SHY,2022/02/01,84.894
SLV,2022/02/01,20.94
SPMV.L,2022/02/01,79.605
TLT,2022/02/01,141.533
UNH,2022/02/01,467.028
URI,2022/02/01,330.01
V,2022/02/01,231.983
VRSK,2022/02/01,196.235
VXX,2022/02/01,19.84
WRK,2022/02/01,46.076
XLB,2022/02/01,85.429
XLC,2022/02/01,74.401
XLE,2022/02/01,67.623
XLF,2022/02/01,39.446
XLI,2022/02/01,101.792
XLK,2022/02/01,162.091
XLP,2022/02/01,75.557
XLU,2022/02/01,67.877
XLV,2022/02/01,131.17
XLY,2022/02/01,185.785
XOM,2022/02/01,79.944
ABBV,2022/02/02,138.62
ACN,2022/02/02,359.47
AEP,2022/02/02,89.103
AIZ,2022/02/02,152.354
ALLE,2022/02/02,119.74
AMAT,2022/02/02,140.507
AMP,2022/02/02,312.101
AMZN,2022/02/02,3012.25
AVB,2022/02/02,251.63
AVY,2022/02/02,199.925
AXP,2022/02/02,184.16
BDX,2022/02/02,255.828
BF-B,2022/02/02,68.196
BMY,2022/02/02,64.8
BR,2022/02/02,153.617
CARR,2022/02/02,47.51
CDW,2022/02/02,194.025
CE,2022/02/02,158.144
CHTR,2022/02/02,600.24
CNC,2022/02/02,78.82
CNP,2022/02/02,28.141
COP,2022/02/02,91.748
CTAS,2022/02/02,390.46
CZR,2022/02/02,77.5
DG,2022/02/02,206.69
DPZ,2022/02/02,450.653
DRE,2022/02/02,58.558
DXC,2022/02/02,30.69
EWA,2022/02/02,23.28
EWC,2022/02/02,38.84
EWG,2022/02/02,32.36
EWH,2022/02/02,23.86
EWJ,2022/02/02,65.08
EWL,2022/02/02,50.03
EWQ,2022/02/02,38.58
EWT,2022/02/02,65.39
EWU,2022/02/02,34.59
EWY,2022/02/02,73.5
EWZ,2022/02/02,31.94
FB,2022/02/02,323
FTV,2022/02/02,71.54
GOOG,2022/02/02,2960.73
GPC,2022/02/02,134.271
GSG,2022/02/02,19.32
HIG,2022/02/02,72.722
HIGH.L,2022/02/02,5.449
HST,2022/02/02,17.18
HYG,2022/02/02,84.548
IAU,2022/02/02,34.38
ICLN,2022/02/02,18.64
IEAA.L,2022/02/02,5.26
IEF,2022/02/02,112.439
IEFM.L,2022/02/02,789.8
IEMG,2022/02/02,59.86
IEUS,2022/02/02,66.28
IEVL.L,2022/02/02,7.614
IGF,2022/02/02,47.85
INDA,2022/02/02,46.16
IUMO.L,2022/02/02,11.445
IUVL.L,2022/02/02,9.298
IVV,2022/02/02,457.74
IWM,2022/02/02,200.945
IXN,2022/02/02,60.16
JPEA.L,2022/02/02,5.805
JPM,2022/02/02,149.94
KR,2022/02/02,43.9
LQD,2022/02/02,127.478
MCHI,2022/02/02,62.45
MVEU.L,2022/02/02,54.36
OGN,2022/02/02,33.071
PG,2022/02/02,162.6
PPL,2022/02/02,29.484
PRU,2022/02/02,113.651
PYPL,2022/02/02,132.57
RE,2022/02/02,288.556
REET,2022/02/02,28.695
ROL,2022/02/02,31.356
ROST,2022/02/02,96.986
SEGA.L,2022/02/02,107.32
SHY,2022/02/02,84.914
SLV,2022/02/02,20.93
SPMV.L,2022/02/02,80.78
TLT,2022/02/02,142.012
UNH,2022/02/02,478.364
URI,2022/02/02,326.22
V,2022/02/02,235.038
VRSK,2022/02/02,199.769
VXX,2022/02/02,19.42
WRK,2022/02/02,45.618
XLB,2022/02/02,85.698
XLC,2022/02/02,75.887
XLE,2022/02/02,67.841
XLF,2022/02/02,39.715
XLI,2022/02/02,102.5
XLK,2022/02/02,163.408
XLP,2022/02/02,76.463
XLU,2022/02/02,68.88
XLV,2022/02/02,132.935
XLY,2022/02/02,184.676
XOM,2022/02/02,79.736
ABBV,2022/02/03,140.73
ACN,2022/02/03,345.55
AEP,2022/02/03,89.41
AIZ,2022/02/03,151.169
ALLE,2022/02/03,115.685
AMAT,2022/02/03,136.264
AMP,2022/02/03,303.173
AMZN,2022/02/03,2776.91
AVB,2022/02/03,250.21
AVY,2022/02/03,192.385
AXP,2022/02/03,184.04
BDX,2022/02/03,269.692
BF-B,2022/02/03,67.857
BMY,2022/02/03,64.07
BR,2022/02/03,147.733
CARR,2022/02/03,46.24
CDW,2022/02/03,192.399
CE,2022/02/03,159.159
CHTR,2022/02/03,610.45
CNC,2022/02/03,81.53
CNP,2022/02/03,27.972
COP,2022/02/03,90.415
CTAS,2022/02/03,384.106
CZR,2022/02/03,76.36
DG,2022/02/03,205.37
DPZ,2022/02/03,442.526
DRE,2022/02/03,58.498
DXC,2022/02/03,34.91
EWA,2022/02/03,23.02
EWC,2022/02/03,38.18
EWG,2022/02/03,32.07
EWH,2022/02/03,23.75
EWJ,2022/02/03,63.72
EWL,2022/02/03,48.98
EWQ,2022/02/03,38.12
EWT,2022/02/03,64.59
EWU,2022/02/03,34.24
EWY,2022/02/03,71.98
EWZ,2022/02/03,31.69
FB,2022/02/03,237.76
FTV,2022/02/03,65.976
GOOG,2022/02/03,2853.01
GPC,2022/02/03,131.809
GSG,2022/02/03,19.4
HIG,2022/02/03,71.797
HIGH.L,2022/02/03,5.413
HST,2022/02/03,17.08
HYG,2022/02/03,83.791
IAU,2022/02/03,34.36
ICLN,2022/02/03,18.17
IEAA.L,2022/02/03,5.216
IEF,2022/02/03,111.959
IEFM.L,2022/02/03,778.95
IEMG,2022/02/03,59.22
IEUS,2022/02/03,65.12
IEVL.L,2022/02/03,7.552
IGF,2022/02/03,47.63
INDA,2022/02/03,45.53
IUMO.L,2022/02/03,11.405
IUVL.L,2022/02/03,9.35
IVV,2022/02/03,447.115
IWM,2022/02/03,197.143
IXN,2022/02/03,58.36
JPEA.L,2022/02/03,5.769
JPM,2022/02/03,148.7
KR,2022/02/03,44.905
LQD,2022/02/03,126.45
MCHI,2022/02/03,62.03
MVEU.L,2022/02/03,53.36
OGN,2022/02/03,32.664
PG,2022/02/03,164.14
PPL,2022/02/03,29.454
PRU,2022/02/03,112.255
PYPL,2022/02/03,124.3
RE,2022/02/03,283.615
REET,2022/02/03,28.366
ROL,2022/02/03,30.619
ROST,2022/02/03,94.047
SEGA.L,2022/02/03,107.08
SHY,2022/02/03,84.844
SLV,2022/02/03,20.71
SPMV.L,2022/02/03,80.675
TLT,2022/02/03,140.904
UNH,2022/02/03,487.328
URI,2022/02/03,324.43
V,2022/02/03,231.164
VRSK,2022/02/03,196.605
VXX,2022/02/03,21.78
WRK,2022/02/03,45.887
XLB,2022/02/03,84.203
XLC,2022/02/03,70.81
XLE,2022/02/03,67.197
XLF,2022/02/03,39.276
XLI,2022/02/03,100.865
XLK,2022/02/03,158.667
XLP,2022/02/03,76.483
XLU,2022/02/03,68.572
XLV,2022/02/03,132.367
XLY,2022/02/03,179.025
XOM,2022/02/03,78.806
ABBV,2022/02/04,140.65
ACN,2022/02/04,347.5
AEP,2022/02/04,88.399
AIZ,2022/02/04,152.433
ALLE,2022/02/04,118.813
AMAT,2022/02/04,135.326
AMP,2022/02/04,307.009
AMZN,2022/02/04,3152.79
AVB,2022/02/04,247.3
AVY,2022/02/04,188.579
AXP,2022/02/04,185.85
BDX,2022/02/04,267.968
BF-B,2022/02/04,66.969
BMY,2022/02/04,64.99
BR,2022/02/04,149.217
CARR,2022/02/04,45.84
CDW,2022/02/04,191.731
CE,2022/02/04,155.814
CHTR,2022/02/04,608.92
CNC,2022/02/04,80.57
CNP,2022/02/04,27.714
COP,2022/02/04,91.41
CTAS,2022/02/04,380.844
CZR,2022/02/04,78.83
DG,2022/02/04,202.36
DPZ,2022/02/04,436.823
DRE,2022/02/04,57.384
DXC,2022/02/04,36.03
EWA,2022/02/04,23.11
EWC,2022/02/04,38.39
EWG,2022/02/04,31.98
EWH,2022/02/04,24.07
EWJ,2022/02/04,64.22
EWL,2022/02/04,48.87
EWQ,2022/02/04,38.22
EWT,2022/02/04,64.48
EWU,2022/02/04,34.15
EWY,2022/02/04,72.72
EWZ,2022/02/04,31.68
FB,2022/02/04,237.09
FTV,2022/02/04,64.318
GOOG,2022/02/04,2860.32
GPC,2022/02/04,128.89
GSG,2022/02/04,19.67
HIG,2022/02/04,70.136
HIGH.L,2022/02/04,5.365
HST,2022/02/04,17.46
HYG,2022/02/04,83.462
IAU,2022/02/04,34.39
ICLN,2022/02/04,18.34
IEAA.L,2022/02/04,5.173
IEF,2022/02/04,111.1
IEFM.L,2022/02/04,772.6
IEMG,2022/02/04,59.4
IEUS,2022/02/04,64.75
IEVL.L,2022/02/04,7.468
IGF,2022/02/04,47.47
INDA,2022/02/04,45.38
IUMO.L,2022/02/04,11.305
IUVL.L,2022/02/04,9.162
IVV,2022/02/04,449.357
IWM,2022/02/04,197.991
IXN,2022/02/04,58.64
JPEA.L,2022/02/04,5.735
JPM,2022/02/04,152.56
KR,2022/02/04,44.567
LQD,2022/02/04,125.193
MCHI,2022/02/04,62.4
MVEU.L,2022/02/04,52.64
OGN,2022/02/04,32.863
PG,2022/02/04,161.53
PPL,2022/02/04,29.186
PRU,2022/02/04,117.155
PYPL,2022/02/04,126.08
RE,2022/02/04,284.36
REET,2022/02/04,28.137
ROL,2022/02/04,30.35
ROST,2022/02/04,93.827
SEGA.L,2022/02/04,107.34
SHY,2022/02/04,84.674
SLV,2022/02/04,20.79
SPMV.L,2022/02/04,80.02
TLT,2022/02/04,138.826
UNH,2022/02/04,481.744
URI,2022/02/04,312.29
V,2022/02/04,228.019
VRSK,2022/02/04,197.413
VXX,2022/02/04,21
WRK,2022/02/04,45.131
XLB,2022/02/04,82.809
XLC,2022/02/04,70.99
XLE,2022/02/04,68.247
XLF,2022/02/04,39.944
XLI,2022/02/04,99.778
XLK,2022/02/04,159.306
XLP,2022/02/04,75.547
XLU,2022/02/04,68.026
XLV,2022/02/04,131.888
XLY,2022/02/04,184.117
XOM,2022/02/04,80.517
ABBV,2022/02/07,142.53
ACN,2022/02/07,343.96
AEP,2022/02/07,89.033
AIZ,2022/02/07,152.105
ALLE,2022/02/07,120.019
AMAT,2022/02/07,135.885
AMP,2022/02/07,310.806
AMZN,2022/02/07,3158.71
AVB,2022/02/07,244.37
AVY,2022/02/07,180.77
AXP,2022/02/07,187.87
BDX,2022/02/07,268.386
BF-B,2022/02/07,66.999
BMY,2022/02/07,66.19
BR,2022/02/07,147.216
CARR,2022/02/07,45.72
CDW,2022/02/07,190.744
CE,2022/02/07,154.41
CHTR,2022/02/07,610.75
CNC,2022/02/07,80.79
CNP,2022/02/07,27.902
COP,2022/02/07,92.475
CTAS,2022/02/07,378.909
CZR,2022/02/07,80.75
DG,2022/02/07,200.59
DPZ,2022/02/07,433.123
DRE,2022/02/07,57.016
DXC,2022/02/07,37.33
EWA,2022/02/07,23.3
EWC,2022/02/07,38.56
EWG,2022/02/07,31.98
EWH,2022/02/07,24.13
EWJ,2022/02/07,64.26
EWL,2022/02/07,48.87
EWQ,2022/02/07,38.27
EWT,2022/02/07,64.76
EWU,2022/02/07,34.34
EWY,2022/02/07,72.96
EWZ,2022/02/07,32.05
FB,2022/02/07,224.91
FTV,2022/02/07,63.808
GOOG,2022/02/07,2778.76
GPC,2022/02/07,127.291
GSG,2022/02/07,19.63
HIG,2022/02/07,69.848
HIGH.L,2022/02/07,5.332
HST,2022/02/07,17.84
HYG,2022/02/07,83.402
IAU,2022/02/07,34.66
ICLN,2022/02/07,18.23
IEAA.L,2022/02/07,5.154
IEF,2022/02/07,111.13
IEFM.L,2022/02/07,778.9
IEMG,2022/02/07,59.35
IEUS,2022/02/07,64.29
IEVL.L,2022/02/07,7.509
IGF,2022/02/07,47.45
INDA,2022/02/07,44.93
IUMO.L,2022/02/07,11.44
IUVL.L,2022/02/07,9.232
IVV,2022/02/07,447.763
IWM,2022/02/07,198.969
IXN,2022/02/07,58.21
JPEA.L,2022/02/07,5.728
JPM,2022/02/07,153.07
KR,2022/02/07,44.467
LQD,2022/02/07,125.422
MCHI,2022/02/07,61.97
MVEU.L,2022/02/07,52.76
OGN,2022/02/07,33.26
PG,2022/02/07,160.32
PPL,2022/02/07,29.067
PRU,2022/02/07,118.076
PYPL,2022/02/07,121.41
RE,2022/02/07,285.126
REET,2022/02/07,28.008
ROL,2022/02/07,30.39
ROST,2022/02/07,93.02
SEGA.L,2022/02/07,106.85
SHY,2022/02/07,84.694
SLV,2022/02/07,21.27
SPMV.L,2022/02/07,80.11
TLT,2022/02/07,138.916
UNH,2022/02/07,482.273
URI,2022/02/07,315.78
V,2022/02/07,226.791
VRSK,2022/02/07,196.694
VXX,2022/02/07,20.42
WRK,2022/02/07,45.051
XLB,2022/02/07,82.4
XLC,2022/02/07,69.753
XLE,2022/02/07,69.119
XLF,2022/02/07,40.063
XLI,2022/02/07,99.858
XLK,2022/02/07,158.248
XLP,2022/02/07,75.687
XLU,2022/02/07,67.927
XLV,2022/02/07,131.659
XLY,2022/02/07,183.738
XOM,2022/02/07,81.487
ABBV,2022/02/08,143.51
ACN,2022/02/08,345.07
AEP,2022/02/08,89.42
AIZ,2022/02/08,155.391
ALLE,2022/02/08,121.274
AMAT,2022/02/08,138.5
AMP,2022/02/08,314.204
AMZN,2022/02/08,3228.27
AVB,2022/02/08,240.49
AVY,2022/02/08,183.629
AXP,2022/02/08,194
BDX,2022/02/08,275.583
BF-B,2022/02/08,67.278
BMY,2022/02/08,65.89
BR,2022/02/08,148.141
CARR,2022/02/08,46.06
CDW,2022/02/08,194.184
CE,2022/02/08,157.576
CHTR,2022/02/08,609.12
CNC,2022/02/08,85.67
CNP,2022/02/08,28.012
COP,2022/02/08,90.873
CTAS,2022/02/08,382.58
CZR,2022/02/08,82.36
DG,2022/02/08,202.77
DPZ,2022/02/08,437.481
DRE,2022/02/08,56.797
DXC,2022/02/08,38.82
EWA,2022/02/08,23.74
EWC,2022/02/08,38.76
EWG,2022/02/08,32.1
EWH,2022/02/08,24.34
EWJ,2022/02/08,64.63
EWL,2022/02/08,48.85
EWQ,2022/02/08,38.45
EWT,2022/02/08,65.42
EWU,2022/02/08,34.49
EWY,2022/02/08,73.18
EWZ,2022/02/08,32.11
FB,2022/02/08,220.18
FTV,2022/02/08,65.497
GOOG,2022/02/08,2784.26
GPC,2022/02/08,129.188
GSG,2022/02/08,19.41
HIG,2022/02/08,72.364
HIGH.L,2022/02/08,5.352
HST,2022/02/08,18.17
HYG,2022/02/08,83.313
IAU,2022/02/08,34.73
ICLN,2022/02/08,18.27
IEAA.L,2022/02/08,5.158
IEF,2022/02/08,110.77
IEFM.L,2022/02/08,771.2
IEMG,2022/02/08,59.86
IEUS,2022/02/08,64.33
IEVL.L,2022/02/08,7.569
IGF,2022/02/08,47.78
INDA,2022/02/08,45.09
IUMO.L,2022/02/08,11.415
IUVL.L,2022/02/08,9.252
IVV,2022/02/08,451.321
IWM,2022/02/08,202.363
IXN,2022/02/08,58.95
JPEA.L,2022/02/08,5.695
JPM,2022/02/08,155.95
KR,2022/02/08,45.294
LQD,2022/02/08,124.954
MCHI,2022/02/08,62.66
MVEU.L,2022/02/08,52.68
OGN,2022/02/08,33.488
PG,2022/02/08,159.96
PPL,2022/02/08,29.305
PRU,2022/02/08,120.115
PYPL,2022/02/08,120.26
RE,2022/02/08,288.715
REET,2022/02/08,27.888
ROL,2022/02/08,30.31
ROST,2022/02/08,95.143
SEGA.L,2022/02/08,106.03
SHY,2022/02/08,84.605
SLV,2022/02/08,21.45
SPMV.L,2022/02/08,80.16
TLT,2022/02/08,137.988
UNH,2022/02/08,491.954
URI,2022/02/08,323.39
V,2022/02/08,227.57
VRSK,2022/02/08,197.852
VXX,2022/02/08,19.5
WRK,2022/02/08,46.872
XLB,2022/02/08,83.675
XLC,2022/02/08,69.723
XLE,2022/02/08,67.633
XLF,2022/02/08,40.621
XLI,2022/02/08,100.855
XLK,2022/02/08,160.204
XLP,2022/02/08,75.976
XLU,2022/02/08,67.976
XLV,2022/02/08,132.736
XLY,2022/02/08,186.324
XOM,2022/02/08,79.38
ABBV,2022/02/09,143.2
ACN,2022/02/09,355.53
AEP,2022/02/09,89.38
AIZ,2022/02/09,165.867
ALLE,2022/02/09,124.722
AMAT,2022/02/09,143.94
AMP,2022/02/09,318.03
AMZN,2022/02/09,3223.79
AVB,2022/02/09,248.75
AVY,2022/02/09,188.101
AXP,2022/02/09,196.4
BDX,2022/02/09,276.33
BF-B,2022/02/09,67.777
BMY,2022/02/09,67.14
BR,2022/02/09,150.192
CARR,2022/02/09,47.98
CDW,2022/02/09,189.398
CE,2022/02/09,159.886
CHTR,2022/02/09,614.75
CNC,2022/02/09,85.95
CNP,2022/02/09,28.071
COP,2022/02/09,92.485
CTAS,2022/02/09,390.579
CZR,2022/02/09,86.87
DG,2022/02/09,205.79
